Word_tag,Frequency
football_SUBST,902
robson_SUBST,204
's_UNC,55929
cure_SUBST,103
ease_VERB,292
polish_ADJ,231
problem_SUBST,4677
by_PREP,55062
patrick_SUBST,325
barclay_SUBST,42
correspondent_SUBST,918
for_PREP,83053
captain_SUBST,811
marvel_SUBST,17
read_VERB,2051
miracle_SUBST,198
bryan_SUBST,114
whom_PRON,1372
england_SUBST,3165
have_VERB,118456
sadly_ADV,184
write_VERB,4163
out_ADV,17743
of_PREP,287131
they_PRON,77460
plan_SUBST,2137
the_ART,590004
world_SUBST,7680
cup_SUBST,1898
qualifying_SUBST,28
match_SUBST,1417
against_PREP,6302
poland_SUBST,414
a_ART,208028
week_SUBST,5239
tomorrow_ADV,679
may_VERB,8291
be_VERB,354747
fit_ADJ,368
to_PREP,243253
play_VERB,4144
in_PREP,181903
chorzow_SUBST,19
after_PREP,9667
all_ADJ,22405
and_CONJ,240760
manchester_SUBST,744
united_ADJ,928
name_VERB,642
yesterday_ADV,4388
he_PRON,119845
club_SUBST,3017
squad_SUBST,377
littlewoods_SUBST,60
second_ADJ,3759
round_SUBST,629
leg_SUBST,1053
portsmouth_SUBST,152
at_PREP,49689
old_ADJ,6258
trafford_SUBST,99
tonight_ADV,315
hairline_SUBST,13
fracture_SUBST,43
heal_VERB,72
with_PREP,64080
remarkable_ADJ,442
speed_SUBST,701
bobby_SUBST,122
manager_SUBST,1872
who_PRON,22009
spend_VERB,2319
weekend_SUBST,939
ponder_VERB,100
merit_SUBST,223
possible_ADJ,2725
deputy_SUBST,549
colleague_SUBST,696
neil_SUBST,373
webb_SUBST,95
long-term_ADJ,473
casualty_SUBST,221
express_VERB,945
surprise_SUBST,525
delight_SUBST,248
news_SUBST,1582
that_CONJ,67606
midfield_SUBST,109
disruption_SUBST,92
keep_VERB,4560
minimum_SUBST,198
injury_SUBST,696
legacy_SUBST,170
previous_ADJ,1031
combat_SUBST,69
diagnose_VERB,62
when_CONJ,15478
substitute_VERB,103
20_ADJ,1417
minute_SUBST,2271
from_PREP,43489
end_SUBST,4815
first_ADJ,12157
only_ADV,12559
13_ADJ,660
day_SUBST,9509
ago_ADV,2301
lead_VERB,3570
3-0_ADJ,51
time_SUBST,16506
concede_VERB,287
two_ADJ,12460
goal_SUBST,1245
final_ADJ,1460
whistle_SUBST,75
it_PRON,101207
immediately_ADV,880
assume_VERB,742
miss_VERB,1049
0-0_ADJ,11
draw_SUBST,253
sweden_SUBST,230
last_ADJ,9372
month_SUBST,4399
because_CONJ,8674
bruised_ADJ,36
rib_SUBST,123
would_VERB,25147
again_ADV,5017
absent_ADJ,149
country_SUBST,5944
strive_VERB,120
acquire_VERB,573
far_ADJ,2317
point_SUBST,3870
need_VERB,5366
ensure_VERB,1293
qualification_SUBST,162
final_SUBST,683
next_ADJ,4959
summer_SUBST,1561
but_CONJ,43372
say_VERB,28721
obviously_ADV,705
not_ADV,59729
make_VERB,20235
decision_SUBST,2175
recall_VERB,656
lightly_ADV,195
now_ADV,11874
i_PRON,70282
look_VERB,9043
forward_ADV,1062
review_VERB,322
situation_SUBST,1376
if_CONJ,19035
come_VERB,12393
through_PREP,6800
unscathed_ADJ,32
can_VERB,19818
add_VERB,2803
there_PRON,20882
no_ART,13614
about_PREP,12911
another_ADJ,5906
player_SUBST,1734
that_ADJ,22223
could_VERB,14676
pair_VERB,24
central_ADJ,2013
steve_SUBST,487
mcmahon_SUBST,38
deputise_VERB,19
so_ADV,16603
impressively_ADV,36
stockholm_SUBST,57
great_ADJ,6702
deal_SUBST,1604
anxiety_SUBST,372
trip_SUBST,673
relieved_ADJ,117
until_PREP,1736
favourite_SUBST,410
partner_VERB,35
22-year-old_ADJ,26
michael_SUBST,1365
thomas_SUBST,706
arsenal_SUBST,172
one_ADJ,17302
appearance_SUBST,712
disappointing_ADJ,102
debut_SUBST,236
saudi_SUBST,121
arabia_SUBST,128
late_ADJ,2974
year_SUBST,18419
andy_SUBST,240
jones_SUBST,568
charlton_SUBST,121
striker_SUBST,190
wales_SUBST,952
help_VERB,3742
fill_VERB,1032
gap_SUBST,517
create_VERB,2177
suspension_SUBST,224
ian_SUBST,604
rush_SUBST,183
mark_SUBST,1322
hughes_SUBST,236
group_SUBST,5626
four_ADJ,3644
match_VERB,553
netherlands_SUBST,192
wrexham_SUBST,20
also_ADV,11684
include_VERB,2821
terry_SUBST,228
yorath_SUBST,5
16-strong_ADJ,1
uncapped_ADJ,8
watford_SUBST,72
iwan_SUBST,2
roberts_SUBST,253
while_CONJ,5037
southampton_SUBST,193
midfielder_SUBST,49
barry_SUBST,182
horne_SUBST,22
return_VERB,2125
serve_VERB,1677
fifa_SUBST,47
dowie_SUBST,12
former_ADJ,1942
missile_SUBST,312
engineer_SUBST,420
launch_VERB,797
into_PREP,15731
international_ADJ,2684
northern_SUBST,600
ireland_SUBST,1170
less_ADV,3183
than_CONJ,15788
48_ADJ,149
hour_SUBST,2794
after_CONJ,2389
ground_VERB,35
red_ADJ,1228
card_SUBST,712
on_PREP,58422
loan_SUBST,727
fulham_SUBST,85
24-year-old_ADJ,13
luton_SUBST,102
send_VERB,2239
off_ADV,4262
chester_SUBST,57
score_VERB,714
season_SUBST,1705
billy_SUBST,188
bingham_SUBST,31
call_VERB,4884
up_ADV,18058
six_ADJ,2261
qualifier_SUBST,50
republic_SUBST,647
dublin_SUBST,293
big_ADJ,4018
strong_ADJ,2171
boy_SUBST,1803
very_ADV,8711
much_ADJ,5125
mould_SUBST,243
hamilton_SUBST,133
put_VERB,5618
himself_PRON,3355
lot_SUBST,1986
tackle_VERB,366
hard_ADJ,1897
work_VERB,5255
hard_ADV,724
equestrianism_SUBST,23
whitaker_SUBST,47
wonder_SUBST,243
horse_SUBST,2199
wrap_VERB,228
genevieve_SUBST,25
murphy_SUBST,104
wembley_SUBST,243
john_SUBST,3490
begin_VERB,4213
show_SUBST,1275
same_ADJ,5406
high_ADJ,5926
note_SUBST,884
as_CONJ,34924
1988_ADJ,957
when_ADV,4316
winning_ADJ,150
night_SUBST,3793
corda_SUBST,1
stake_SUBST,696
flawless_ADJ,14
grey_ADJ,412
milton_SUBST,143
long_ADJ,3922
way_SUBST,10344
go_VERB,17166
before_PREP,4341
equal_VERB,72
prize_SUBST,538
money_SUBST,3547
"£42,399_UNC",2
prove_VERB,1684
irresistible_ADJ,76
form_SUBST,2862
open_VERB,2267
account_SUBST,1562
"£3,700_UNC",1
winner_SUBST,812
this_ADJ,37046
european_ADJ,3054
championship_SUBST,773
finish_VERB,1066
2.92sec_UNC,1
hand_SUBST,4283
over_PREP,7494
jos_SUBST,127
lansink_SUBST,8
optiebeurs_SUBST,6
felix_SUBST,13
win_VERB,3773
bronze_SUBST,230
medal_SUBST,223
third_ADJ,2229
place_SUBST,5123
only_ADJ,2316
other_ADJ,11665
clear_ADJ,2380
10-horse_ADJ,1
jump-off_ADJ,18
belgium_SUBST,200
evelyne_SUBST,1
blaton_SUBST,1
careful_ADJ,462
early_ADV,1747
malcolm_SUBST,357
pyrah_SUBST,2
olympic_ADJ,240
talent_SUBST,418
spotters_SUBST,2
though_CONJ,4035
do_VERB,35553
believe_VERB,3777
small_ADJ,4802
seven-year-old_ADJ,26
chestnut_SUBST,64
potential_ADJ,587
material_SUBST,1426
echo_VERB,226
widespread_ADJ,331
praise_SUBST,137
new_ADJ,12114
series_SUBST,1369
competition_SUBST,1128
require_VERB,1992
"£3,000_UNC",57
0.98sec_UNC,1
marie_SUBST,812
edgar_SUBST,37
everest_SUBST,44
sure_ADJ,1557
thing_SUBST,6181
partner_SUBST,653
qualify_VERB,324
top_ADJ,1402
here_ADV,4772
youth_SUBST,637
rider_SUBST,190
intend_VERB,808
use_VERB,7390
discretion_SUBST,110
"£2,000_UNC",71
which_PRON,34208
austin_SUBST,51
collect_VERB,640
fourth_ADJ,740
elusive_ADJ,66
sixth_ADJ,265
zobias_SUBST,1
considerably_ADV,249
more_ADJ,6651
meagre_ADJ,48
£240_UNC,5
ride_VERB,610
river_SUBST,1283
hill_SUBST,1084
victory_SUBST,1189
grade_SUBST,153
a_SUBST,1640
work_SUBST,5062
sort_SUBST,1823
consider_VERB,2131
an_ART,32807
insult_SUBST,67
early_ADJ,3518
award_SUBST,534
today_ADV,2710
total_ADJ,975
overall_ADV,127
grade_VERB,37
champion_SUBST,793
will_VERB,27446
amount_VERB,225
£970_UNC,1
opportunity_SUBST,1327
compete_VERB,397
rest_SUBST,1406
new_SUBST,1611
zealand_SUBST,452
gold_SUBST,912
medallist_SUBST,36
todd_SUBST,49
accept_VERB,1865
last-minute_ADJ,73
ride_SUBST,326
hunter_SUBST,167
agree_VERB,1843
seabrook_SUBST,15
title_SUBST,926
three_ADJ,6529
joint_ADJ,550
owner_SUBST,1016
vin_SUBST,10
toulson_SUBST,4
injure_VERB,235
unload_VERB,54
lorry_SUBST,194
animal_SUBST,1561
land_VERB,416
top_SUBST,1488
sustain_VERB,335
broken_ADJ,280
pull_VERB,1195
ligament_SUBST,24
right_ADJ,2202
golf_SUBST,554
seve_SUBST,16
eye_SUBST,2684
record_SUBST,2225
spaniard_SUBST,56
7-2_ADJ,6
bye_SUBST,3
where_CONJ,4374
meet_VERB,3044
either_ADV,1765
america_SUBST,2057
chip_SUBST,359
beck_SUBST,100
or_CONJ,30456
japan_SUBST,922
aki_ADJ,4
omachi_SUBST,1
seven_ADJ,1309
newcomer_SUBST,126
ballesteros_SUBST,70
1981_ADJ,478
1982_ADJ,476
1984_ADJ,518
1985_ADJ,647
14th_ADJ,78
successive_ADJ,271
seed_VERB,65
behind_PREP,1898
defending_SUBST,40
sandy_SUBST,70
lyle_SUBST,80
us_SUBST,2316
master_SUBST,753
nick_SUBST,267
faldo_SUBST,114
woosnam_SUBST,95
seed_SUBST,600
through_ADV,807
stage_SUBST,1863
1989_ADJ,1216
major_ADJ,2066
open_ADJ,1864
calcavecchia_SUBST,11
curtis_SUBST,47
strange_SUBST,23
uspga_SUBST,3
title-holder_SUBST,9
payne_SUBST,40
stewart_SUBST,188
12-man_ADJ,1
line-up_SUBST,64
along_ADV,1102
no._SUBST,217
1_ADJ,2232
greg_SUBST,57
norman_SUBST,323
almost_ADV,3517
tournament_SUBST,352
offer_VERB,3127
similar_ADJ,1570
we_PRON,39420
pace_SUBST,420
peter_SUBST,1654
german_SUBST,816
director_SUBST,1798
try_VERB,4841
build_VERB,2482
event_SUBST,1951
pay_VERB,3507
good_ADJ,12107
reward_SUBST,265
attract_VERB,702
rangers_SUBST,141
survive_VERB,875
angell_SUBST,10
onslaught_SUBST,37
derek_SUBST,246
hodgson_SUBST,43
stockport_SUBST,23
county_SUBST,1032
0_ADJ,158
queen_SUBST,921
park_SUBST,1296
2-1_ADJ,63
agg_SUBST,8
tight_ADJ,292
little_ADJ,4277
edgeley_SUBST,4
some_ADJ,14797
famous_ADJ,873
name_SUBST,2649
roll_VERB,459
infant_SUBST,213
mersey_SUBST,35
smart_ADJ,227
professional_ADJ,868
job_SUBST,2469
reach_VERB,2270
tradition_SUBST,860
date_VERB,309
back_ADV,6410
go-go_VERB,1
division_SUBST,1331
embarrassment_SUBST,157
failure_SUBST,878
before_CONJ,2583
all-ticket_SUBST,3
"5,997_ADJ",1
crowd_SUBST,695
mild_ADJ,179
emerge_VERB,899
as_PREP,21664
worthy_ADJ,153
aggregate_SUBST,56
goalless_ADJ,30
precariously_ADV,19
ahead_ADV,1090
corner_SUBST,930
12_ADJ,1070
frenetic_ADJ,22
tall_ADJ,486
muscular_ADJ,58
team_SUBST,2693
subtle_ADJ,179
effective_ADJ,805
demonstrate_VERB,669
fifth_ADJ,451
fling_VERB,103
ball_SUBST,994
wide_ADJ,1343
down_PREP,800
right_SUBST,2766
defender_SUBST,220
race_VERB,517
in_ADV,4468
support_VERB,1587
sequence_SUBST,283
far_ADV,3424
too_ADV,7122
rapid_ADJ,290
dave_SUBST,209
seaman_SUBST,47
comfort_SUBST,349
brett_SUBST,25
mcinerney_SUBST,1
contrive_VERB,39
chance_SUBST,1691
catch_VERB,1333
breath_SUBST,341
respond_VERB,627
constant_ADJ,397
raiding_SUBST,2
play_SUBST,969
neat_ADJ,189
frantic_ADJ,50
despite_PREP,1797
signal_SUBST,402
slow_VERB,250
down_ADV,7096
game_SUBST,2568
trevor_SUBST,125
francis_SUBST,259
as_ADV,5494
guilty_ADJ,319
anyone_PRON,1271
26_ADJ,334
player-manager_SUBST,16
provide_VERB,4125
beautifully_ADV,164
weighted_ADJ,17
cross_SUBST,635
simon_SUBST,674
barker_SUBST,83
head_VERB,707
just_ADV,9138
subside_VERB,32
able_ADJ,2486
find_VERB,8701
space_SUBST,1298
more_ADV,15104
easily_ADV,867
shot_SUBST,560
left-footed_ADJ,6
take_VERB,16054
quickly_ADV,1073
superb_ADJ,227
demonstration_SUBST,345
art_SUBST,2041
nevertheless_ADV,646
grateful_ADJ,201
alan_SUBST,592
mcdonald_SUBST,81
under_PREP,4899
bar_SUBST,1240
away_ADV,4425
cooke_SUBST,58
elude_VERB,33
kenny_SUBST,66
sansom_SUBST,8
hero_SUBST,458
mick_SUBST,125
matthews_SUBST,69
thorpe_SUBST,46
face_VERB,1864
glitter_SUBST,27
nigel_SUBST,767
spackman_SUBST,6
reid_SUBST,107
challenge_VERB,379
control_SUBST,2171
throughout_ADV,90
even_ADV,9524
double_VERB,349
watch_VERB,1750
yet_ADV,3984
still_ADV,7047
manage_VERB,1273
forward_SUBST,42
late_ADV,442
on_ADV,6951
replace_VERB,1055
gary_SUBST,203
howard_SUBST,301
might_VERB,5433
kick_SUBST,152
shoot_VERB,744
five_ADJ,3040
yard_SUBST,769
post_SUBST,967
howell_SUBST,51
demand_VERB,846
riot_SUBST,212
charge_SUBST,1430
ticketless_ADJ,2
jonathan_SUBST,237
foster_SUBST,118
conspiracy_SUBST,122
should_VERB,8708
bring_VERB,4263
those_ADJ,7785
travel_VERB,1023
determine_VERB,761
confront_VERB,243
police_SUBST,2633
birmingham_SUBST,527
mp_SUBST,787
sport_SUBST,1677
minister_VERB,49
denis_SUBST,124
labour_ADJ,2771
small_SUBST,117
heath_SUBST,238
claim_VERB,1880
violence_SUBST,597
cause_VERB,1939
city_SUBST,3831
follower_SUBST,139
total_VERB,102
least_ADV,3014
300_ADJ,253
arrive_VERB,1420
blackpool_SUBST,166
without_PREP,4466
ticket_SUBST,442
court_SUBST,2539
deal_VERB,1409
theft_SUBST,102
public_ADJ,3008
order_SUBST,2853
offence_SUBST,761
qualified_ADJ,113
referee_SUBST,238
tell_VERB,6154
jail_VERB,152
part_SUBST,5630
looting_SUBST,8
jeweller_SUBST,24
profitt_SUBST,1
21_ADJ,436
erdington_SUBST,1
supporter_SUBST,705
pryce_SUBST,7
chair_VERB,128
magistrate_SUBST,155
'_UNC,5561
hearing_SUBST,319
you_PRON,39392
nothing_PRON,3070
looter_SUBST,5
remand_VERB,23
custody_SUBST,90
view_SUBST,2908
custodial_ADJ,14
sentence_SUBST,448
profitt_VERB,1
cook_SUBST,320
18_ADJ,827
adrian_SUBST,129
sinclair_SUBST,30
19_ADJ,426
